Period,article_volume,average_news_sentiment,AVG_AAPL_Density,AVG_NVDA_Density,AVG_GOOGL_Density,market_average_sentiment,10-K_sentiment,10-Q_sentiment,8-K_sentiment,mspr
2018-01-01,13.0,-0.01404731273651123,0.0,0.0,0.07188375350140055,0.31122322214974296,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-02,25.0,0.03199691772460937,0.0,0.0,0.05493052598660075,0.31122322214974296,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-03,58.0,-0.33305485248565675,0.0,0.0,0.11902597402597404,-0.01850534478823344,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-04,51.0,-0.2243316054344177,0.0,0.0,0.12484848484848485,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-05,64.0,0.18007124662399293,0.014285714285714285,0.0,0.10612054612054611,0.0715106725692749,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-06,19.0,0.0,0.0,0.0,0.0877056277056277,0.0715106725692749,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-07,23.0,0.0,0.0,0.0,0.08522588522588523,0.0715106725692749,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-08,84.0,-0.45999146699905397,0.0,0.0,0.14414618460419987,0.15237165490786234,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-09,63.0,-0.016195738315582277,0.0,0.0,0.11223978919631095,0.41282764077186584,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-10,46.0,-0.5275637745857239,0.0,0.0,0.09416577425572928,0.21989670395851135,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-11,55.0,0.08709300756454467,0.0,0.0,0.1183016208597604,0.21989670395851135,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-12,61.0,0.11625051498413086,0.0,0.0,0.1151994301994302,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-13,22.0,-0.38042486906051637,0.010256410256410256,0.0,0.05931213781058982,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-14,8.0,-0.34985052347183226,0.0,0.0,0.05751633986928104,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-15,33.0,-0.14227558374404908,0.0,0.0,0.10262626262626262,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-16,63.0,-0.14227558374404908,0.0,0.0,0.12741626794258373,0.15104538202285767,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-17,81.0,-0.2855479001998901,0.0,0.0,0.09080808080808081,0.2799070080121358,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-18,56.0,-0.17627259492874145,0.04126984126984127,0.0,0.12355422355422356,0.30672305822372437,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-19,48.0,-0.0035027384757995604,0.02222222222222222,0.0,0.13269530488992792,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-20,16.0,-0.3338940978050232,0.01111111111111111,0.0,0.10654623154623155,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-21,9.0,0.0,0.0016212232866617538,0.0,0.04285565125653556,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-22,43.0,0.0,0.0,0.0,0.12405382943357628,-0.16382460594177245,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-23,80.0,-0.10417063236236572,0.0,0.0,0.10839428770463252,0.3106940786043803,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-24,64.0,0.0,0.0,0.0,0.09833333333333334,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-25,56.0,-0.13518662452697755,0.0,0.0,0.18525089605734765,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-26,47.0,-0.3015939474105835,0.0,0.0,0.13484848484848483,0.0794634868701299,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-27,17.0,-0.758921456336975,0.0,0.0,0.10614484930274404,0.0794634868701299,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-28,17.0,-0.6393359899520874,0.0,0.0,0.08679875679875679,0.0794634868701299,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-29,24.0,0.3375077486038208,0.0,0.0,0.07493786632384537,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-30,48.0,0.4806246757507324,0.0,0.0,0.08882868089764642,-0.4162244371005467,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-01-31,54.0,0.13299373388290406,0.0,0.0,0.1054568548067,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
2018-02-01,121.0,-0.1344866394996643,0.0,0.0,0.1943859649122807,0.0,-0.09446706591383708,-0.05526805068433717,-0.03529484632114569,-44.97614933333333
