Period,article_volume,average_news_sentiment,AVG_AAPL_Density,AVG_NVDA_Density,AVG_GOOGL_Density,market_average_sentiment,10-K_sentiment,10-Q_sentiment,8-K_sentiment,mspr
2018-01-01,8.0,-0.017894172668457033,0.06880660120021823,0.0125,0.0,0.31122322214974296,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-02,51.0,-0.12723937034606933,0.16614718614718613,0.0,0.0,0.31122322214974296,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-03,62.0,-0.5182866215705871,0.12403945550628448,0.0,0.0,-0.01850534478823344,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-04,53.0,0.22206408977508546,0.14833587980646806,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-05,104.0,-0.4433979749679565,0.17398673398673398,0.0,0.0,0.0715106725692749,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-06,19.0,-0.17757176160812377,0.09425902348747285,0.0,0.0011560693641618496,0.0715106725692749,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-07,21.0,-0.36406588554382324,0.0892442645074224,0.0,0.0,0.0715106725692749,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-08,105.0,-0.25728851556777954,0.16652236652236652,0.0,0.0,0.15237165490786234,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-09,91.0,-0.18393176794052124,0.2531257631257631,0.0,0.0,0.41282764077186584,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-10,93.0,0.0,0.10176767676767677,0.0,0.01818181818181818,0.21989670395851135,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-11,27.0,0.0,0.09904491341991342,0.0,0.0,0.21989670395851135,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-12,35.0,-0.3181034803390503,0.13023292154999472,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-13,10.0,-0.3233276605606079,0.07877056277056277,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-14,5.0,-0.014735424518585205,0.03114794969222856,0.0,0.0005231037489102006,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-15,31.0,0.020846831798553466,0.10933333333333332,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-16,44.0,0.0,0.13814664867296447,0.0,0.015384615384615385,0.15104538202285767,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-17,163.0,0.0,0.14019607843137255,0.0,0.0,0.2799070080121358,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-18,175.0,-0.17847931385040283,0.17861746097040215,0.0,0.0,0.30672305822372437,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-19,70.0,-0.5587988138198853,0.14964429958868225,0.0,0.02222222222222222,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-20,15.0,0.0,0.10159090909090909,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-21,20.0,0.0,0.1095155638012781,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-22,45.0,0.0,0.1303398300849575,0.0,0.0,-0.16382460594177245,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-23,87.0,-0.7180604577064514,0.1488095238095238,0.0,0.0,0.3106940786043803,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-24,137.0,0.0,0.2057704868231184,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-25,71.0,0.0,0.132947912302751,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-26,38.0,-0.1933188557624817,0.16019975896136887,0.0,0.0,0.0794634868701299,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-27,16.0,0.0,0.10741626794258372,0.021052631578947368,0.0,0.0794634868701299,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-28,14.0,0.0,0.05472830173292291,0.0,0.0,0.0794634868701299,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-29,126.0,-0.9528754353523254,0.21439538239538242,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-30,102.0,-0.8058327555656433,0.23714285714285716,0.0,0.0,-0.4162244371005467,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-01-31,82.0,-0.3244292140007019,0.17199088145896657,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-02-01,135.0,-0.8407333612442016,0.19492577597840754,0.0,0.0,0.0,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
2018-02-02,152.0,-0.3758264183998108,0.15434173669467785,0.0,0.0,-0.22253463949475968,-0.1462267433723005,-0.2175083633579583,-0.023673229850828648,-46.0798715
